#Archive/File	Name	Time	Size	Type
Archive	GSE12345_RAW.tar	01/17/2013 14:03:18	116080640	TAR
File	GSM309986.CEL.gz	08/06/2008 16:24:13	9278273	CEL
File	GSM309987.CEL.gz	08/06/2008 16:24:20	9007881	CEL
File	GSM309988.CEL.gz	08/06/2008 16:24:29	8776789	CEL
File	GSM309989.CEL.gz	08/06/2008 16:24:35	8791080	CEL
File	GSM309990.CEL.gz	08/06/2008 16:24:42	8796083	CEL
File	GSM309991.CEL.gz	08/06/2008 16:24:49	9222611	CEL
File	GSM310012.CEL.gz	08/06/2008 16:24:56	9240180	CEL
File	GSM310013.CEL.gz	08/06/2008 16:25:04	9100917	CEL
File	GSM310014.CEL.gz	08/06/2008 16:25:10	8983601	CEL
File	GSM310015.CEL.gz	08/06/2008 16:25:17	8647078	CEL
File	GSM310016.CEL.gz	10/14/2009 12:27:06	8854565	CEL
File	GSM310068.CEL.gz	08/06/2008 16:25:30	8440839	CEL
File	GSM310070.CEL.gz	08/06/2008 16:25:37	8926246	CEL
